Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
Black Swan,Black Swan (2010),tt0947798,8.0,2010,1h 48m,https://www.boxofficemojo.com/title/tt0947798/,"$329,398,046","$106,954,678","$222,443,368",Darren Aronofsky,"Natalie Portman (Nina Sayers/The Swan Queen), Mila Kunis (Lily/The Black Swan), Vincent Cassel (Thomas Leroy/The Gentleman), Winona Ryder (Beth Macintyre/The Dying Swan)"
Inside Out,Inside Out (2015),tt2096673,8.1,2015,1h 35m,https://www.boxofficemojo.com/title/tt2096673/,"$859,076,254","$356,461,711","$502,609,564",Pete Docter,"Amy Poehler (Joy), Bill Hader (Fear), Lewis Black (Anger), Mindy Kaling (Disgust)"
The Imitation Game,The Imitation Game (2014),tt2084970,8.0,2014,1h 54m,https://www.boxofficemojo.com/title/tt2084970/,"$233,555,708","$91,125,683","$142,430,025",Alan Turing,"Benedict Cumberbatch (Alan Turing), Keira Knightley (Joan Clarke), Matthew Goode (Hugh Alexander), Allen Leech (John Cairncross)"
Thor: Ragnarok,Thor: Ragnarok (2017),tt3501632,7.9,2017,2h 10m,https://www.boxofficemojo.com/title/tt3501632/,"$855,301,806","$315,058,289","$540,243,517",Taika Waititi,"Chris Hemsworth (Thor), Tom Hiddleston (Loki), Cate Blanchett (Hela), Mark Ruffalo (Bruce Banner/Hulk)"
I Am Legend,I Am Legend (2007),tt0480249,7.2,2007,1h 41m,https://www.boxofficemojo.com/title/tt0480249/,"$585,410,052","$256,393,010","$329,017,042",Francis Lawrence,"Will Smith (Robert Neville), Alice Braga (Anna), Charlie Tahan (Ethan), Salli Richardson-Whitfield (Zoe Neville)"
The Incredibles,The Incredibles (2004),tt0317705,8.0,2004,1h 55m,https://www.boxofficemojo.com/title/tt0317705/,"$631,688,498","$261,441,092","$370,243,558",Brad Bird,"Craig T. Nelson (Bob Parr/Mr. Incredible), Samuel L. Jackson (Lucius Best/Frozone), Holly Hunter (Helen Parr/Elastigirl), Jason Lee (Buddy Pine/Syndrome)"
Gran Torino,Gran Torino (2008),tt1205489,8.1,2008,1h 56m,https://www.boxofficemojo.com/title/tt1205489/,"$269,958,228","$148,095,302","$121,862,926",Clint Eastwood,"Clint Eastwood (Walt Kowalski), Bee Vang (Thao), Christopher Carley (Father Janovich), Ahney Her (Sue)"
Doctor Strange,Doctor Strange (2016),tt1211837,7.5,2016,1h 55m,https://www.boxofficemojo.com/title/tt1211837/,"$677,796,833","$232,641,920","$445,154,156",Scott Derrickson,"Benedict Cumberbatch (Dr. Stephen Strange), Chiwetel Ejiofor (Mordo), Rachel McAdams (Dr. Christine Palmer), Benedict Wong (Wong)"
Oppenheimer,Oppenheimer (2023),tt15398776,8.3,2023,3h,https://www.boxofficemojo.com/title/tt15398776/,"$975,594,978","$329,862,540","$645,732,438",Christopher Nolan,"Cillian Murphy (J. Robert Oppenheimer), Emily Blunt (Kitty Oppenheimer), Matt Damon (Leslie Groves), Robert Downey Jr. (Lewis Strauss)"
How to Train Your Dragon,How to Train Your Dragon (2010),tt0892769,8.1,2010,1h 38m,https://www.boxofficemojo.com/title/tt0892769/,"$277,569,374","$270,745","$277,298,240",Dean DeBlois,"Jay Baruchel (Hiccup), Gerard Butler (Stoick), Christopher Mintz-Plasse (Fishlegs), Craig Ferguson (Gobber)"
Kill Bill: Vol. 2,Kill Bill: Vol. 2 (2004),tt0378194,8.0,2004,2h 17m,https://www.boxofficemojo.com/title/tt0378194/,"$154,118,514","$66,208,183","$87,908,974",Quentin Tarantino,"Uma Thurman (Beatrix Kiddo aka The Bride aka Black Mamba aka Mommy), David Carradine (Bill aka Snake Charmer), Michael Madsen (Budd aka Sidewinder), Daryl Hannah (Elle Driver aka California Mountain Snake)"
